cliente,periodo,anio,mes,soles
OXYMAN COMERCIAL S.A.C.,202503,2025,3,22.509999999999998
PLUZ ENERGÍA PERÚ S.A.A.,202503,2025,3,7719425.49
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202503,2025,3,293227.95000000007
TERMINAL INTERNACIONAL DEL SUR S.A.,202503,2025,3,316234.38521
UNIVERSIDAD CATOLICA SAN PABLO,202503,2025,3,31410.710000000006
AGRÍCOLA PAMPA BAJA S.A.C.,202504,2025,4,103716.84005999999
CLIENTE LIBRE,202504,2025,4,1427525.24008
CONSORCIO ELECTRICO DE VILLACURI SAC,202504,2025,4,329373.93266
CR_ LICITACIONES,202504,2025,4,10291852.512348665
CR_BILATERALES,202504,2025,4,6428154.66
ELECTRO PUNO S.A.A.,202504,2025,4,2142490.32
ELECTRO SUR ESTE S.A.A.,202504,2025,4,226228.58000000002
ELECTROSUR S.A.,202504,2025,4,220185.0423486644
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202504,2025,4,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202504,2025,4,58987.09654
IINCA TOPS S.A.,202504,2025,4,334792.71
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202504,2025,4,124520.76389999999
LUZ DEL SUR S.A.A.,202504,2025,4,6498380.16
MERCADO SPOT,202504,2025,4,5151940.249999999
MICHELL Y CIA S.A.,202504,2025,4,480291.70343999995
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202504,2025,4,45280.745800000004
OXYMAN COMERCIAL S.A.C.,202504,2025,4,22.52
PLUZ ENERGÍA PERÚ S.A.A.,202504,2025,4,7356241.0
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202504,2025,4,276482.07
TERMINAL INTERNACIONAL DEL SUR S.A.,202504,2025,4,250297.87033999996
UNIVERSIDAD CATOLICA SAN PABLO,202504,2025,4,29614.989999999998
AGRÍCOLA PAMPA BAJA S.A.C.,202505,2025,5,94723.97096
CLIENTE LIBRE,202505,2025,5,1459478.90408
CONSORCIO ELECTRICO DE VILLACURI SAC,202505,2025,5,308014.41856
CR_ LICITACIONES,202505,2025,5,10061441.070433572
CR_BILATERALES,202505,2025,5,5951854.43
ELECTRO PUNO S.A.A.,202505,2025,5,2041869.1300000001
ELECTRO SUR ESTE S.A.A.,202505,2025,5,256054.65000000002
ELECTROSUR S.A.,202505,2025,5,219650.11043357084
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202505,2025,5,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202505,2025,5,59242.463840000004
IINCA TOPS S.A.,202505,2025,5,319764.00000000006
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202505,2025,5,116930.29032
LUZ DEL SUR S.A.A.,202505,2025,5,6368167.609999999
MERCADO SPOT,202505,2025,5,1851730.988545754
MICHELL Y CIA S.A.,202505,2025,5,513707.83616000006
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202505,2025,5,41808.212
OXYMAN COMERCIAL S.A.C.,202505,2025,5,22.38
PLUZ ENERGÍA PERÚ S.A.A.,202505,2025,5,6843897.25
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202505,2025,5,283656.74999999994
TERMINAL INTERNACIONAL DEL SUR S.A.,202505,2025,5,282488.2608
UNIVERSIDAD CATOLICA SAN PABLO,202505,2025,5,30791.490000000005
AGRÍCOLA PAMPA BAJA S.A.C.,202506,2025,6,90922.17527
CLIENTE LIBRE,202506,2025,6,1363908.0273499999
CONSORCIO ELECTRICO DE VILLACURI SAC,202506,2025,6,274932.58638
CR_ LICITACIONES,202506,2025,6,9835581.209425833
CR_BILATERALES,202506,2025,6,6128383.51
ELECTRO PUNO S.A.A.,202506,2025,6,2292429.89
ELECTRO SUR ESTE S.A.A.,202506,2025,6,261796.13
ELECTROSUR S.A.,202506,2025,6,212664.09942583408
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202506,2025,6,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202506,2025,6,62643.519
IINCA TOPS S.A.,202506,2025,6,319139.69999999995
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202506,2025,6,120952.99179999999
LUZ DEL SUR S.A.A.,202506,2025,6,6188575.0200000005
MERCADO SPOT,202506,2025,6,2683641.217278258
MICHELL Y CIA S.A.,202506,2025,6,483580.12293000007
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202506,2025,6,39324.43569
OXYMAN COMERCIAL S.A.C.,202506,2025,6,22.349999999999998
PLUZ ENERGÍA PERÚ S.A.A.,202506,2025,6,6726221.07
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202506,2025,6,282278.51000000007
TERMINAL INTERNACIONAL DEL SUR S.A.,202506,2025,6,217849.26266
UNIVERSIDAD CATOLICA SAN PABLO,202506,2025,6,29473.47
AGRÍCOLA PAMPA BAJA S.A.C.,202507,2025,7,124019.4768
CLIENTE LIBRE,202507,2025,7,1337635.34428
CONSORCIO ELECTRICO DE VILLACURI SAC,202507,2025,7,256221.31816
CR_ LICITACIONES,202507,2025,7,9664410.811644029
CR_BILATERALES,202507,2025,7,6311721.92
ELECTRO PUNO S.A.A.,202507,2025,7,2387468.0
ELECTRO SUR ESTE S.A.A.,202507,2025,7,270698.6300000001
ELECTROSUR S.A.,202507,2025,7,209712.85164402882
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202507,2025,7,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202507,2025,7,59901.674
IINCA TOPS S.A.,202507,2025,7,298064.66
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202507,2025,7,124428.26520000001
LUZ DEL SUR S.A.A.,202507,2025,7,6064562.359999999
MERCADO SPOT,202507,2025,7,2415061.8597846027
MICHELL Y CIA S.A.,202507,2025,7,439693.60236
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202507,2025,7,40438.94268000001
OXYMAN COMERCIAL S.A.C.,202507,2025,7,22.049999999999997
PLUZ ENERGÍA PERÚ S.A.A.,202507,2025,7,6767179.62
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202507,2025,7,276511.26999999996
TERMINAL INTERNACIONAL DEL SUR S.A.,202507,2025,7,229873.42324
UNIVERSIDAD CATOLICA SAN PABLO,202507,2025,7,21193.250000000004
AGRÍCOLA PAMPA BAJA S.A.C.,202508,2025,8,136187.9234
CLIENTE LIBRE,202508,2025,8,1364591.0224
CONSORCIO ELECTRICO DE VILLACURI SAC,202508,2025,8,240181.4656
CR_ LICITACIONES,202508,2025,8,9587549.62430402
CR_BILATERALES,202508,2025,8,6203077.44
ELECTRO PUNO S.A.A.,202508,2025,8,2354034.1200000006
ELECTRO SUR ESTE S.A.A.,202508,2025,8,262480.70999999996
ELECTROSUR S.A.,202508,2025,8,207138.2643040216
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202508,2025,8,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202508,2025,8,57376.5846
IINCA TOPS S.A.,202508,2025,8,302228.38999999996
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202508,2025,8,120866.571
LUZ DEL SUR S.A.A.,202508,2025,8,6048190.18
MERCADO SPOT,202508,2025,8,2699669.68
MICHELL Y CIA S.A.,202508,2025,8,438963.9382000001
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202508,2025,8,40031.3794
OXYMAN COMERCIAL S.A.C.,202508,2025,8,21.98
PLUZ ENERGÍA PERÚ S.A.A.,202508,2025,8,6638427.93
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202508,2025,8,280355.86
TERMINAL INTERNACIONAL DEL SUR S.A.,202508,2025,8,242244.98579999997
UNIVERSIDAD CATOLICA SAN PABLO,202508,2025,8,26669.27
AGRÍCOLA PAMPA BAJA S.A.C.,202509,2025,9,140794.06616
CLIENTE LIBRE,202509,2025,9,1372086.32836
CONSORCIO ELECTRICO DE VILLACURI SAC,202509,2025,9,351734.0934
CR_ LICITACIONES,202509,2025,9,9586520.041565398
CR_BILATERALES,202509,2025,9,6179974.3
ELECTRO PUNO S.A.A.,202509,2025,9,2351813.07
ELECTRO SUR ESTE S.A.A.,202509,2025,9,258972.04000000004
ELECTROSUR S.A.,202509,2025,9,209908.08156539654
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202509,2025,9,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202509,2025,9,61173.39548
IINCA TOPS S.A.,202509,2025,9,304879.36000000004
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202509,2025,9,115287.63212
LUZ DEL SUR S.A.A.,202509,2025,9,6048020.320000001
MERCADO SPOT,202509,2025,9,2926361.6
MICHELL Y CIA S.A.,202509,2025,9,456915.09668
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202509,2025,9,38351.42528000001
OXYMAN COMERCIAL S.A.C.,202509,2025,9,21.96
PLUZ ENERGÍA PERÚ S.A.A.,202509,2025,9,6614672.85
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202509,2025,9,283107.98000000004
TERMINAL INTERNACIONAL DEL SUR S.A.,202509,2025,9,224529.21264
UNIVERSIDAD CATOLICA SAN PABLO,202509,2025,9,30134.180000000004
AGRÍCOLA PAMPA BAJA S.A.C.,202510,2025,10,138929.51870000002
CLIENTE LIBRE,202510,2025,10,1304232.13521
CONSORCIO ELECTRICO DE VILLACURI SAC,202510,2025,10,359307.4747
CR_ LICITACIONES,202510,2025,10,9562229.583333429
CR_BILATERALES,202510,2025,10,5773864.749999999
ELECTRO PUNO S.A.A.,202510,2025,10,2009710.8099999996
ELECTRO SUR ESTE S.A.A.,202510,2025,10,252384.49999999994
ELECTROSUR S.A.,202510,2025,10,211211.79333342973
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202510,2025,10,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202510,2025,10,60642.771830000005
IINCA TOPS S.A.,202510,2025,10,282672.94999999995
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202510,2025,10,105262.85678
LUZ DEL SUR S.A.A.,202510,2025,10,6007636.379999999
MERCADO SPOT,202510,2025,10,2442707.25
MICHELL Y CIA S.A.,202510,2025,10,424732.07292000006
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202510,2025,10,39389.792929999996
OXYMAN COMERCIAL S.A.C.,202510,2025,10,21.599999999999998
PLUZ ENERGÍA PERÚ S.A.A.,202510,2025,10,6569470.779999999
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202510,2025,10,285680.07
TERMINAL INTERNACIONAL DEL SUR S.A.,202510,2025,10,224104.46204999997
UNIVERSIDAD CATOLICA SAN PABLO,202510,2025,10,28476.109999999997
AGRÍCOLA PAMPA BAJA S.A.C.,202511,2025,11,138929.51870000002
CLIENTE LIBRE,202511,2025,11,1304232.13521
CONSORCIO ELECTRICO DE VILLACURI SAC,202511,2025,11,359307.4747
CR_ LICITACIONES,202511,2025,11,9562229.583333429
CR_BILATERALES,202511,2025,11,5773864.749999999
ELECTRO PUNO S.A.A.,202511,2025,11,2009710.8099999996
ELECTRO SUR ESTE S.A.A.,202511,2025,11,252384.49999999994
ELECTROSUR S.A.,202511,2025,11,211211.79333342973
EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,202511,2025,11,0.0
FABRICA DE CHOCOLATES LA IBERICA S.A.,202511,2025,11,60642.771830000005
IINCA TOPS S.A.,202511,2025,11,282672.94999999995
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202511,2025,11,105262.85678
LUZ DEL SUR S.A.A.,202511,2025,11,6007636.379999999
MERCADO SPOT,202511,2025,11,2442707.25
MICHELL Y CIA S.A.,202511,2025,11,424732.07292000006
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202511,2025,11,39389.792929999996
OXYMAN COMERCIAL S.A.C.,202511,2025,11,21.599999999999998
PLUZ ENERGÍA PERÚ S.A.A.,202511,2025,11,6569470.779999999
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202511,2025,11,285680.07
TERMINAL INTERNACIONAL DEL SUR S.A.,202511,2025,11,224104.46204999997
UNIVERSIDAD CATOLICA SAN PABLO,202511,2025,11,28476.109999999997
CLIENTE LIBRE,202512,2025,12,0.0
CR_ LICITACIONES,202512,2025,12,0.0
CR_BILATERALES,202512,2025,12,0.0
MERCADO SPOT,202512,2025,12,0.0
