cliente,periodo,anio,mes,mwh
CLIENTE LIBRE,202504,2025,4,3873.9489000000003
CONSORCIO ELECTRICO DE VILLACURI SAC,202504,2025,4,1469.68335
CR_ LICITACIONES,202504,2025,4,26303.167830000002
CR_BILATERALES,202504,2025,4,21605.444910000002
ELECTRO PUNO S.A.A.,202504,2025,4,7815.362430000001
ELECTRO SUR ESTE S.A.A.,202504,2025,4,541.21628
ELECTROSUR S.A.,202504,2025,4,537.63726
FABRICA DE CHOCOLATES LA IBERICA S.A.,202504,2025,4,172.81203
IINCA TOPS S.A.,202504,2025,4,896.24434
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202504,2025,4,321.65985000000006
LUZ DEL SUR S.A.A.,202504,2025,4,17042.90219
MERCADO SPOT,202504,2025,4,52140.47571973804
MICHELL Y CIA S.A.,202504,2025,4,1272.2868600000002
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202504,2025,4,139.962
OXYMAN COMERCIAL S.A.C.,202504,2025,4,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202504,2025,4,21313.80928
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202504,2025,4,657.6853000000001
TERMINAL INTERNACIONAL DEL SUR S.A.,202504,2025,4,742.6824799999999
UNIVERSIDAD CATOLICA SAN PABLO,202504,2025,4,69.31026999999999
AGRÍCOLA PAMPA BAJA S.A.C.,202505,2025,5,229.83891
CLIENTE LIBRE,202505,2025,5,4160.58883
CONSORCIO ELECTRICO DE VILLACURI SAC,202505,2025,5,1616.34979
CR_ LICITACIONES,202505,2025,5,26018.98367
CR_BILATERALES,202505,2025,5,20675.4282
ELECTRO PUNO S.A.A.,202505,2025,5,7796.20255
ELECTRO SUR ESTE S.A.A.,202505,2025,5,614.1251399999998
ELECTROSUR S.A.,202505,2025,5,538.04948
FABRICA DE CHOCOLATES LA IBERICA S.A.,202505,2025,5,187.95459999999997
IINCA TOPS S.A.,202505,2025,5,931.3635499999999
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202505,2025,5,323.42172999999997
LUZ DEL SUR S.A.A.,202505,2025,5,16839.27129
MERCADO SPOT,202505,2025,5,15581.658548040381
MICHELL Y CIA S.A.,202505,2025,5,1447.58012
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202505,2025,5,137.15175
OXYMAN COMERCIAL S.A.C.,202505,2025,5,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202505,2025,5,20224.61133
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202505,2025,5,682.15208
TERMINAL INTERNACIONAL DEL SUR S.A.,202505,2025,5,831.8896799999999
UNIVERSIDAD CATOLICA SAN PABLO,202505,2025,5,71.38849
AGRÍCOLA PAMPA BAJA S.A.C.,202506,2025,6,255.57227
CLIENTE LIBRE,202506,2025,6,3978.8022900000005
CONSORCIO ELECTRICO DE VILLACURI SAC,202506,2025,6,1316.2787200000002
CR_ LICITACIONES,202506,2025,6,25144.722560000002
CR_BILATERALES,202506,2025,6,20560.110589999997
ELECTRO PUNO S.A.A.,202506,2025,6,8007.9216
ELECTRO SUR ESTE S.A.A.,202506,2025,6,604.0453999999999
ELECTROSUR S.A.,202506,2025,6,506.73082000000005
FABRICA DE CHOCOLATES LA IBERICA S.A.,202506,2025,6,178.18703000000002
IINCA TOPS S.A.,202506,2025,6,877.23444
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202506,2025,6,336.85079
LUZ DEL SUR S.A.A.,202506,2025,6,16216.58252
MERCADO SPOT,202506,2025,6,15987.19421321596
MICHELL Y CIA S.A.,202506,2025,6,1318.1143100000002
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202506,2025,6,128.78387
OXYMAN COMERCIAL S.A.C.,202506,2025,6,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202506,2025,6,19707.988129999998
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202506,2025,6,661.56468
TERMINAL INTERNACIONAL DEL SUR S.A.,202506,2025,6,814.08248
UNIVERSIDAD CATOLICA SAN PABLO,202506,2025,6,69.97710000000001
AGRÍCOLA PAMPA BAJA S.A.C.,202507,2025,7,319.89686
CLIENTE LIBRE,202507,2025,7,3903.35876
CONSORCIO ELECTRICO DE VILLACURI SAC,202507,2025,7,1367.3704300000002
CR_ LICITACIONES,202507,2025,7,25724.325100000005
CR_BILATERALES,202507,2025,7,21495.9502
ELECTRO PUNO S.A.A.,202507,2025,7,8582.323170000001
ELECTRO SUR ESTE S.A.A.,202507,2025,7,645.61244
ELECTROSUR S.A.,202507,2025,7,519.79072
FABRICA DE CHOCOLATES LA IBERICA S.A.,202507,2025,7,178.17282999999998
IINCA TOPS S.A.,202507,2025,7,847.72549
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202507,2025,7,341.86887
LUZ DEL SUR S.A.A.,202507,2025,7,16527.4486
MERCADO SPOT,202507,2025,7,15856.041957408
MICHELL Y CIA S.A.,202507,2025,7,1191.2968099999998
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202507,2025,7,132.13859
OXYMAN COMERCIAL S.A.C.,202507,2025,7,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202507,2025,7,20270.51167
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202507,2025,7,674.5886999999999
TERMINAL INTERNACIONAL DEL SUR S.A.,202507,2025,7,838.8969599999999
UNIVERSIDAD CATOLICA SAN PABLO,202507,2025,7,53.362350000000006
AGRÍCOLA PAMPA BAJA S.A.C.,202508,2025,8,396.42832999999996
CLIENTE LIBRE,202508,2025,8,4038.00544
CONSORCIO ELECTRICO DE VILLACURI SAC,202508,2025,8,1263.9485
CR_ LICITACIONES,202508,2025,8,25628.148940000003
CR_BILATERALES,202508,2025,8,20926.18808
ELECTRO PUNO S.A.A.,202508,2025,8,8208.442790000001
ELECTRO SUR ESTE S.A.A.,202508,2025,8,634.15032
ELECTROSUR S.A.,202508,2025,8,520.69096
FABRICA DE CHOCOLATES LA IBERICA S.A.,202508,2025,8,177.17060999999998
IINCA TOPS S.A.,202508,2025,8,840.69534
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202508,2025,8,322.87926
LUZ DEL SUR S.A.A.,202508,2025,8,16542.91732
MERCADO SPOT,202508,2025,8,18663.543929614556
MICHELL Y CIA S.A.,202508,2025,8,1189.57877
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202508,2025,8,131.61921
OXYMAN COMERCIAL S.A.C.,202508,2025,8,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202508,2025,8,19957.72669
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202508,2025,8,690.4089399999999
TERMINAL INTERNACIONAL DEL SUR S.A.,202508,2025,8,920.0904400000001
UNIVERSIDAD CATOLICA SAN PABLO,202508,2025,8,59.543479999999995
AGRÍCOLA PAMPA BAJA S.A.C.,202509,2025,9,408.81711
CLIENTE LIBRE,202509,2025,9,4157.004330000001
CONSORCIO ELECTRICO DE VILLACURI SAC,202509,2025,9,1616.8836999999996
CR_ LICITACIONES,202509,2025,9,25309.485559999994
CR_BILATERALES,202509,2025,9,20999.33568
ELECTRO PUNO S.A.A.,202509,2025,9,8432.55744
ELECTRO SUR ESTE S.A.A.,202509,2025,9,613.4747000000001
ELECTROSUR S.A.,202509,2025,9,520.46896
FABRICA DE CHOCOLATES LA IBERICA S.A.,202509,2025,9,196.53045
IINCA TOPS S.A.,202509,2025,9,871.92789
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202509,2025,9,316.74678
LUZ DEL SUR S.A.A.,202509,2025,9,16314.94272
MERCADO SPOT,202509,2025,9,19265.0047595383
MICHELL Y CIA S.A.,202509,2025,9,1297.5853200000001
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202509,2025,9,128.62386
OXYMAN COMERCIAL S.A.C.,202509,2025,9,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202509,2025,9,19738.82598
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202509,2025,9,688.55144
TERMINAL INTERNACIONAL DEL SUR S.A.,202509,2025,9,866.1001199999998
UNIVERSIDAD CATOLICA SAN PABLO,202509,2025,9,70.67280000000001
AGRÍCOLA PAMPA BAJA S.A.C.,202510,2025,10,398.40842000000004
CLIENTE LIBRE,202510,2025,10,4030.1628800000008
CONSORCIO ELECTRICO DE VILLACURI SAC,202510,2025,10,1685.3370099999997
CR_ LICITACIONES,202510,2025,10,26249.144930000002
CR_BILATERALES,202510,2025,10,20867.86505
ELECTRO PUNO S.A.A.,202510,2025,10,7737.43239
ELECTRO SUR ESTE S.A.A.,202510,2025,10,635.5304
ELECTROSUR S.A.,202510,2025,10,548.49204
FABRICA DE CHOCOLATES LA IBERICA S.A.,202510,2025,10,217.54597
IINCA TOPS S.A.,202510,2025,10,809.1348399999999
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202510,2025,10,304.75796
LUZ DEL SUR S.A.A.,202510,2025,10,16891.706280000002
MERCADO SPOT,202510,2025,10,18931.50993372698
MICHELL Y CIA S.A.,202510,2025,10,1230.7398500000002
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202510,2025,10,136.45863
OXYMAN COMERCIAL S.A.C.,202510,2025,10,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202510,2025,10,20581.61559
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202510,2025,10,722.2332799999999
TERMINAL INTERNACIONAL DEL SUR S.A.,202510,2025,10,862.26913
UNIVERSIDAD CATOLICA SAN PABLO,202510,2025,10,70.84808
AGRÍCOLA PAMPA BAJA S.A.C.,202511,2025,11,398.40842000000004
CLIENTE LIBRE,202511,2025,11,4030.1628800000008
CONSORCIO ELECTRICO DE VILLACURI SAC,202511,2025,11,1685.3370099999997
CR_ LICITACIONES,202511,2025,11,26249.144930000002
CR_BILATERALES,202511,2025,11,20867.86505
ELECTRO PUNO S.A.A.,202511,2025,11,7737.43239
ELECTRO SUR ESTE S.A.A.,202511,2025,11,635.5304
ELECTROSUR S.A.,202511,2025,11,548.49204
FABRICA DE CHOCOLATES LA IBERICA S.A.,202511,2025,11,217.54597
IINCA TOPS S.A.,202511,2025,11,809.1348399999999
INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,202511,2025,11,304.75796
LUZ DEL SUR S.A.A.,202511,2025,11,16891.706280000002
MERCADO SPOT,202511,2025,11,18931.50993372698
MICHELL Y CIA S.A.,202511,2025,11,1230.7398500000002
NEGOCIACIONES E INVERSIONES DORAL S.A.C.,202511,2025,11,136.45863
OXYMAN COMERCIAL S.A.C.,202511,2025,11,0.0
PLUZ ENERGÍA PERÚ S.A.A.,202511,2025,11,20581.61559
SOCIEDAD ELECTRICA DEL SUR OESTE S A,202511,2025,11,722.2332799999999
TERMINAL INTERNACIONAL DEL SUR S.A.,202511,2025,11,862.26913
UNIVERSIDAD CATOLICA SAN PABLO,202511,2025,11,70.84808
CLIENTE LIBRE,202512,2025,12,0.0
CR_ LICITACIONES,202512,2025,12,0.0
CR_BILATERALES,202512,2025,12,0.0
MERCADO SPOT,202512,2025,12,0.0
