periodo,fecha_mes,concepto,energia_mwh,energia_gwh
201609,2016-09-01,CONTRATOS,65982.05503999999,65.98205503999999
201609,2016-09-01,ENERGIA DISPONIBLE,113088.4416266145,113.0884416266145
201609,2016-09-01,PERDIDAS,1604.8303412614623,1.6048303412614624
201609,2016-09-01,PRODUCCION HIDRAULICA,64747.47985734808,64.74747985734808
201609,2016-09-01,PRODUCCION TERMICA,50800.874566159306,50.80087456615931
201609,2016-09-01,VENTA DE ENERGIA,113088.4416266145,113.0884416266145
201609,2016-09-01,VENTA EN COES,47106.3865866145,47.1063865866145
201610,2016-10-01,COMPRA DE ENERGIA,0.0,0.0
201610,2016-10-01,CONSUMOS AUX.,631.1024359095047,0.6311024359095048
201610,2016-10-01,CONTRATOS,66442.52724,66.44252723999999
201610,2016-10-01,ENERGIA DISPONIBLE,118942.73054277008,118.94273054277008
201610,2016-10-01,PERDIDAS,1630.8721632217785,1.6308721632217784
201610,2016-10-01,PRODUCCION HIDRAULICA,66867.79769401693,66.86779769401693
201610,2016-10-01,PRODUCCION TERMICA,54336.90744788445,54.33690744788445
201610,2016-10-01,VENTA DE ENERGIA,118942.73054277009,118.9427305427701
201610,2016-10-01,VENTA EN COES,52500.2033027701,52.5002033027701
201611,2016-11-01,COMPRA DE ENERGIA,0.0,0.0
201611,2016-11-01,CONSUMOS AUX.,936.6912530651205,0.9366912530651205
201611,2016-11-01,CONTRATOS,64653.35645000001,64.65335645
201611,2016-11-01,ENERGIA DISPONIBLE,118206.9575444653,118.2069575444653
201611,2016-11-01,PERDIDAS,1648.4229257259722,1.6484229257259722
201611,2016-11-01,PRODUCCION HIDRAULICA,64071.13415526345,64.07113415526345
201611,2016-11-01,PRODUCCION TERMICA,56720.937567992936,56.720937567992934
201611,2016-11-01,VENTA DE ENERGIA,118206.9575444653,118.2069575444653
201611,2016-11-01,VENTA EN COES,53553.6010944653,53.5536010944653
201612,2016-12-01,COMPRA DE ENERGIA,0.0,0.0
201612,2016-12-01,CONSUMOS AUX.,647.6707710155033,0.6476707710155033
201612,2016-12-01,CONTRATOS,67880.37388,67.88037388
201612,2016-12-01,ENERGIA DISPONIBLE,109408.05320213921,109.40805320213921
201612,2016-12-01,PERDIDAS,1541.1865300454665,1.5411865300454666
201612,2016-12-01,PRODUCCION HIDRAULICA,64030.3302631302,64.0303302631302
201612,2016-12-01,PRODUCCION TERMICA,47566.580240069976,47.566580240069975
201612,2016-12-01,VENTA DE ENERGIA,109408.0532021392,109.4080532021392
201612,2016-12-01,VENTA EN COES,41527.6793221392,41.5276793221392
201701,2017-01-01,COMPRA DE ENERGIA,0.0,0.0
201701,2017-01-01,CONSUMOS AUX.,577.7715260018027,0.5777715260018027
201701,2017-01-01,CONTRATOS,67735.59313000001,67.73559313000001
201701,2017-01-01,ENERGIA DISPONIBLE,97008.2505430445,97.0082505430445
201701,2017-01-01,PERDIDAS,1440.4882356318412,1.4404882356318411
201701,2017-01-01,PRODUCCION HIDRAULICA,61142.28291957409,61.14228291957409
201701,2017-01-01,PRODUCCION TERMICA,37884.22738510405,37.884227385104055
201701,2017-01-01,VENTA DE ENERGIA,97008.25054304452,97.00825054304451
201701,2017-01-01,VENTA EN COES,29272.6574130445,29.272657413044502
201702,2017-02-01,COMPRA DE ENERGIA,0.0,0.0
201702,2017-02-01,CONSUMOS AUX.,749.3338406228734,0.7493338406228733
201702,2017-02-01,CONTRATOS,64516.52591000001,64.51652591000001
201702,2017-02-01,ENERGIA DISPONIBLE,84005.7761719816,84.00577617198161
201702,2017-02-01,PERDIDAS,1197.3389317031542,1.1973389317031542
201702,2017-02-01,PRODUCCION HIDRAULICA,54484.40946232058,54.484409462320585
201702,2017-02-01,PRODUCCION TERMICA,31468.039481987045,31.468039481987045
