periodo,anio,mes,cliente,precio_medio_soles_mwh
202503,2025,3,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,309.9905338950183
202503,2025,3,OXYMAN COMERCIAL S.A.C.,
202503,2025,3,PLUZ ENERGÍA PERÚ S.A.A.,335.90432957942215
202503,2025,3,SOCIEDAD ELECTRICA DEL SUR OESTE S A,425.0310219879537
202503,2025,3,TERMINAL INTERNACIONAL DEL SUR S.A.,315.75817451909904
202503,2025,3,UNIVERSIDAD CATOLICA SAN PABLO,453.30331006400087
202504,2025,4,AGRÍCOLA PAMPA BAJA S.A.C.,400.46492745869574
202504,2025,4,CLIENTE LIBRE,368.4935648170268
202504,2025,4,CONSORCIO ELECTRICO DE VILLACURI SAC,224.11217536076734
202504,2025,4,CR_ LICITACIONES,391.27806121551345
202504,2025,4,CR_BILATERALES,297.52475298598233
202504,2025,4,ELECTRO PUNO S.A.A.,274.1383191361478
202504,2025,4,ELECTRO SUR ESTE S.A.A.,418.00032327187205
202504,2025,4,ELECTROSUR S.A.,409.54200672152894
202504,2025,4,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202504,2025,4,FABRICA DE CHOCOLATES LA IBERICA S.A.,341.33674918349146
202504,2025,4,IINCA TOPS S.A.,373.5507105127158
202504,2025,4,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,387.1193868305291
202504,2025,4,LUZ DEL SUR S.A.A.,381.29539720136125
202504,2025,4,MERCADO SPOT,98.80884627314028
202504,2025,4,MICHELL Y CIA S.A.,377.5026831920593
202504,2025,4,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,323.5217116074364
202504,2025,4,OXYMAN COMERCIAL S.A.C.,
202504,2025,4,PLUZ ENERGÍA PERÚ S.A.A.,345.1396652452358
202504,2025,4,SOCIEDAD ELECTRICA DEL SUR OESTE S A,420.3865739434954
202504,2025,4,TERMINAL INTERNACIONAL DEL SUR S.A.,337.0186817117323
202504,2025,4,UNIVERSIDAD CATOLICA SAN PABLO,427.28141154261846
202505,2025,5,AGRÍCOLA PAMPA BAJA S.A.C.,412.13200567301686
202505,2025,5,CLIENTE LIBRE,350.7866226906157
202505,2025,5,CONSORCIO ELECTRICO DE VILLACURI SAC,190.5617338930084
202505,2025,5,CR_ LICITACIONES,386.69615992858536
202505,2025,5,CR_BILATERALES,287.87091480891314
202505,2025,5,ELECTRO PUNO S.A.A.,261.905603004119
202505,2025,5,ELECTRO SUR ESTE S.A.A.,416.9421398381446
202505,2025,5,ELECTROSUR S.A.,408.23403534108206
202505,2025,5,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202505,2025,5,FABRICA DE CHOCOLATES LA IBERICA S.A.,315.195604896076
202505,2025,5,IINCA TOPS S.A.,343.32887517446875
202505,2025,5,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,361.5412307639317
202505,2025,5,LUZ DEL SUR S.A.A.,378.17358603764137
202505,2025,5,MERCADO SPOT,118.84042913895298
202505,2025,5,MICHELL Y CIA S.A.,354.87350859723057
202505,2025,5,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,304.83177939763806
202505,2025,5,OXYMAN COMERCIAL S.A.C.,
202505,2025,5,PLUZ ENERGÍA PERÚ S.A.A.,338.3945005582463
202505,2025,5,SOCIEDAD ELECTRICA DEL SUR OESTE S A,415.8262626715145
202505,2025,5,TERMINAL INTERNACIONAL DEL SUR S.A.,339.5741858463733
202505,2025,5,UNIVERSIDAD CATOLICA SAN PABLO,431.32289252791315
202506,2025,6,AGRÍCOLA PAMPA BAJA S.A.C.,355.7591567739333
202506,2025,6,CLIENTE LIBRE,342.79361675696623
202506,2025,6,CONSORCIO ELECTRICO DE VILLACURI SAC,208.87110169189694
202506,2025,6,CR_ LICITACIONES,391.15886786805066
202506,2025,6,CR_BILATERALES,298.0715246240317
202506,2025,6,ELECTRO PUNO S.A.A.,286.2702714272328
202506,2025,6,ELECTRO SUR ESTE S.A.A.,433.4047242144383
202506,2025,6,ELECTROSUR S.A.,419.6786361363101
