estacion,anio,mes,caudal_m3s,periodo
Aguada Blanca,2022.0,05,12.0,202205
Aguada Blanca,2023.0,05,10.46,202305
Aguada Blanca,2024.0,05,11.3,202405
Aguada Blanca,2025.0,05,12.4,202505
Aguada Blanca,1968.0,06,,196806
Aguada Blanca,1969.0,06,,196906
Aguada Blanca,1970.0,06,,197006
Aguada Blanca,1971.0,06,,197106
Aguada Blanca,1972.0,06,7.47,197206
Aguada Blanca,1973.0,06,14.47,197306
Aguada Blanca,1974.0,06,15.22,197406
Aguada Blanca,1975.0,06,15.74,197506
Aguada Blanca,1976.0,06,10.52,197606
Aguada Blanca,1977.0,06,8.54,197706
Aguada Blanca,1978.0,06,8.24,197806
Aguada Blanca,1979.0,06,8.17,197906
Aguada Blanca,1980.0,06,5.41,198006
Aguada Blanca,1981.0,06,10.34,198106
Aguada Blanca,1982.0,06,7.63,198206
Aguada Blanca,1983.0,06,3.71,198306
Aguada Blanca,1984.0,06,10.58,198406
Aguada Blanca,1985.0,06,13.66,198506
Aguada Blanca,1986.0,06,12.26,198606
Aguada Blanca,1987.0,06,8.24,198706
Aguada Blanca,1988.0,06,9.39,198806
Aguada Blanca,1989.0,06,8.16,198906
Aguada Blanca,1990.0,06,3.9,199006
Aguada Blanca,1991.0,06,8.95,199106
Aguada Blanca,1992.0,06,3.9,199206
Aguada Blanca,1993.0,06,7.77,199306
Aguada Blanca,1994.0,06,11.26,199406
Aguada Blanca,1995.0,06,9.21,199506
Aguada Blanca,1996.0,06,6.172,199606
Aguada Blanca,1997.0,06,9.263,199706
Aguada Blanca,1998.0,06,8.6,199806
Aguada Blanca,1999.0,06,10.013,199906
Aguada Blanca,2000.0,06,10.55,200006
Aguada Blanca,2001.0,06,15.034666666666668,200106
Aguada Blanca,2002.0,06,10.091000000000003,200206
Aguada Blanca,2003.0,06,10.063666666666665,200306
Aguada Blanca,2004.0,06,9.982666666666665,200406
Aguada Blanca,2005.0,06,8.087666666666665,200506
Aguada Blanca,2006.0,06,10.624666666666666,200606
Aguada Blanca,2007.0,06,12.026000000000002,200706
Aguada Blanca,2008.0,06,9.510849687057235,200806
Aguada Blanca,2009.0,06,8.605,200906
Aguada Blanca,2010.0,06,10.05,201006
Aguada Blanca,2011.0,06,12.966,201106
Aguada Blanca,2012.0,06,14.05,201206
Aguada Blanca,2013.0,06,14.009999999999998,201306
Aguada Blanca,2014.0,06,9.003082775649796,201406
Aguada Blanca,2015.0,06,10.005333333333333,201506
Aguada Blanca,2016.0,06,10.002999999999998,201606
Aguada Blanca,2017.0,06,11.001666666666667,201706
Aguada Blanca,2018.0,06,11.592666666666668,201806
Aguada Blanca,2019.0,06,12.001333333333331,201906
Aguada Blanca,2020.0,06,12.00040749216885,202006
Aguada Blanca,2021.0,06,12.0,202106
Aguada Blanca,2022.0,06,12.0,202206
Aguada Blanca,2023.0,06,10.5,202306
Aguada Blanca,2024.0,06,11.5,202406
Aguada Blanca,2025.0,06,12.68,202506
Aguada Blanca,1968.0,07,,196807
Aguada Blanca,1969.0,07,,196907
Aguada Blanca,1970.0,07,,197007
Aguada Blanca,1971.0,07,,197107
Aguada Blanca,1972.0,07,8.48,197207
Aguada Blanca,1973.0,07,10.96,197307
Aguada Blanca,1974.0,07,17.88,197407
Aguada Blanca,1975.0,07,16.2,197507
Aguada Blanca,1976.0,07,9.77,197607
Aguada Blanca,1977.0,07,8.73,197707
Aguada Blanca,1978.0,07,8.32,197807
Aguada Blanca,1979.0,07,8.15,197907
Aguada Blanca,1980.0,07,5.17,198007
Aguada Blanca,1981.0,07,10.24,198107
Aguada Blanca,1982.0,07,8.18,198207
Aguada Blanca,1983.0,07,3.73,198307
Aguada Blanca,1984.0,07,10.41,198407
Aguada Blanca,1985.0,07,13.32,198507
Aguada Blanca,1986.0,07,12.3,198607
Aguada Blanca,1987.0,07,8.26,198707
Aguada Blanca,1988.0,07,9.22,198807
Aguada Blanca,1989.0,07,8.16,198907
Aguada Blanca,1990.0,07,4.08,199007
Aguada Blanca,1991.0,07,8.27,199107
Aguada Blanca,1992.0,07,3.92,199207
Aguada Blanca,1993.0,07,8.12,199307
Aguada Blanca,1994.0,07,11.74,199407
Aguada Blanca,1995.0,07,8.92,199507
Aguada Blanca,1996.0,07,6.71,199607
Aguada Blanca,1997.0,07,6.775161290322582,199707
Aguada Blanca,1998.0,07,8.54,199807
Aguada Blanca,1999.0,07,10.02,199907
Aguada Blanca,2000.0,07,10.51,200007
Aguada Blanca,2001.0,07,15.071612903225802,200107
Aguada Blanca,2002.0,07,9.871612903225806,200207
Aguada Blanca,2003.0,07,10.187741935483869,200307
Aguada Blanca,2004.0,07,10.02774193548387,200407
Aguada Blanca,2005.0,07,7.51258064516129,200507
Aguada Blanca,2006.0,07,11.571935483870968,200607
Aguada Blanca,2007.0,07,12.003548387096775,200707
Aguada Blanca,2008.0,07,9.513548387096774,200807
Aguada Blanca,2009.0,07,7.78,200907
Aguada Blanca,2010.0,07,10.0,201007
Aguada Blanca,2011.0,07,13.0,201107
Aguada Blanca,2012.0,07,13.22,201207
Aguada Blanca,2013.0,07,14.015806451612898,201307
Aguada Blanca,2014.0,07,9.000645161290322,201407
Aguada Blanca,2015.0,07,10.002903225806449,201507
Aguada Blanca,2016.0,07,10.006129032258064,201607
Aguada Blanca,2017.0,07,12.000322580645161,201707
Aguada Blanca,2018.0,07,12.299032258064518,201807
Aguada Blanca,2019.0,07,11.839677419354837,201907
Aguada Blanca,2020.0,07,12.0,202007
Aguada Blanca,2021.0,07,11.99,202107
Aguada Blanca,2022.0,07,12.0,202207
Aguada Blanca,2023.0,07,10.4,202307
Aguada Blanca,2024.0,07,11.9,202407
Aguada Blanca,2025.0,07,12.5,202507
Aguada Blanca,1968.0,08,,196808
Aguada Blanca,1969.0,08,,196908
Aguada Blanca,1970.0,08,,197008
Aguada Blanca,1971.0,08,,197108
Aguada Blanca,1972.0,08,8.32,197208
Aguada Blanca,1973.0,08,11.33,197308
Aguada Blanca,1974.0,08,15.56,197408
Aguada Blanca,1975.0,08,15.98,197508
Aguada Blanca,1976.0,08,8.86,197608
Aguada Blanca,1977.0,08,8.91,197708
Aguada Blanca,1978.0,08,8.4,197808
Aguada Blanca,1979.0,08,7.9,197908
Aguada Blanca,1980.0,08,5.34,198008
Aguada Blanca,1981.0,08,10.26,198108
Aguada Blanca,1982.0,08,8.42,198208
Aguada Blanca,1983.0,08,3.74,198308
Aguada Blanca,1984.0,08,10.85,198408
Aguada Blanca,1985.0,08,12.08,198508
Aguada Blanca,1986.0,08,12.44,198608
Aguada Blanca,1987.0,08,10.23,198708
Aguada Blanca,1988.0,08,10.02,198808
Aguada Blanca,1989.0,08,9.21,198908
Aguada Blanca,1990.0,08,4.25,199008
Aguada Blanca,1991.0,08,9.28,199108
Aguada Blanca,1992.0,08,4.1,199208
Aguada Blanca,1993.0,08,8.1,199308
Aguada Blanca,1994.0,08,11.06,199408
Aguada Blanca,1995.0,08,8.92,199508
Aguada Blanca,1996.0,08,7.617,199608
Aguada Blanca,1997.0,08,7.557419354838708,199708
Aguada Blanca,1998.0,08,8.5,199808
Aguada Blanca,1999.0,08,11.32,199908
Aguada Blanca,2000.0,08,10.73,200008
Aguada Blanca,2001.0,08,15.183548387096774,200108
Aguada Blanca,2002.0,08,9.277419354838708,200208
Aguada Blanca,2003.0,08,10.418064516129032,200308
Aguada Blanca,2004.0,08,10.201935483870967,200408
Aguada Blanca,2005.0,08,7.502258064516128,200508
Aguada Blanca,2006.0,08,12.884193548387094,200608
Aguada Blanca,2007.0,08,12.024516129032254,200708
Aguada Blanca,2008.0,08,9.519032258064517,200808
Aguada Blanca,2009.0,08,8.01,200908
Aguada Blanca,2010.0,08,10.9,201008
Aguada Blanca,2011.0,08,13.0,201108
Aguada Blanca,2012.0,08,12.51,201208
Aguada Blanca,2013.0,08,14.020967741935483,201308
Aguada Blanca,2014.0,08,8.999999999999998,201408
Aguada Blanca,2015.0,08,10.01,201508
Aguada Blanca,2016.0,08,10.005806451612901,201608
Aguada Blanca,2017.0,08,12.000645161290322,201708
Aguada Blanca,2018.0,08,12.218709677419353,201808
Aguada Blanca,2019.0,08,12.16258064516129,201908
Aguada Blanca,2020.0,08,12.0,202008
Aguada Blanca,2021.0,08,14.01,202108
Aguada Blanca,2022.0,08,14.0,202208
Aguada Blanca,2023.0,08,10.62,202308
Aguada Blanca,2024.0,08,12.7,202408
Aguada Blanca,2025.0,08,12.91,202508
Aguada Blanca,1968.0,09,,196809
Aguada Blanca,1969.0,09,,196909
Aguada Blanca,1970.0,09,,197009
Aguada Blanca,1971.0,09,,197109
Aguada Blanca,1972.0,09,7.75,197209
Aguada Blanca,1973.0,09,10.16,197309
Aguada Blanca,1974.0,09,12.59,197409
Aguada Blanca,1975.0,09,15.17,197509
Aguada Blanca,1976.0,09,10.32,197609
Aguada Blanca,1977.0,09,9.34,197709
Aguada Blanca,1978.0,09,8.69,197809
Aguada Blanca,1979.0,09,8.49,197909
Aguada Blanca,1980.0,09,4.35,198009
Aguada Blanca,1981.0,09,10.68,198109
Aguada Blanca,1982.0,09,8.49,198209
Aguada Blanca,1983.0,09,3.74,198309
Aguada Blanca,1984.0,09,11.9,198409
Aguada Blanca,1985.0,09,12.09,198509
Aguada Blanca,1986.0,09,13.17,198609
Aguada Blanca,1987.0,09,10.15,198709
Aguada Blanca,1988.0,09,10.59,198809
Aguada Blanca,1989.0,09,9.21,198909
Aguada Blanca,1990.0,09,4.24,199009
Aguada Blanca,1991.0,09,9.14,199109
Aguada Blanca,1992.0,09,4.02,199209
Aguada Blanca,1993.0,09,8.04,199309
Aguada Blanca,1994.0,09,12.03,199409
Aguada Blanca,1995.0,09,8.34,199509
Aguada Blanca,1996.0,09,8.326,199609
Aguada Blanca,1997.0,09,8.372333333333334,199709
Aguada Blanca,1998.0,09,10.02,199809
Aguada Blanca,1999.0,09,12.0,199909
Aguada Blanca,2000.0,09,11.53,200009
Aguada Blanca,2001.0,09,13.145999999999999,200109
Aguada Blanca,2002.0,09,10.071333333333333,200209
Aguada Blanca,2003.0,09,11.17,200309
Aguada Blanca,2004.0,09,11.098333333333333,200409
Aguada Blanca,2005.0,09,9.004333333333333,200509
Aguada Blanca,2006.0,09,13.022666666666668,200609
Aguada Blanca,2007.0,09,12.437333333333333,200709
Aguada Blanca,2008.0,09,10.252999999999998,200809
Aguada Blanca,2009.0,09,8.98,200909
Aguada Blanca,2010.0,09,11.01,201009
Aguada Blanca,2011.0,09,12.723666666666665,201109
Aguada Blanca,2012.0,09,13.52,201209
Aguada Blanca,2013.0,09,14.01,201309
Aguada Blanca,2014.0,09,10.007,201409
Aguada Blanca,2015.0,09,10.011,201509
Aguada Blanca,2016.0,09,11.002999999999997,201609
Aguada Blanca,2017.0,09,13.000333333333334,201709
Aguada Blanca,2018.0,09,12.000333333333334,201809
Aguada Blanca,2019.0,09,12.09666666666667,201909
Aguada Blanca,2020.0,09,12.700333333333328,202009
Aguada Blanca,2021.0,09,14.0,202109
Aguada Blanca,2022.0,09,14.0,202209
Aguada Blanca,2023.0,09,11.5,202309
Aguada Blanca,2024.0,09,12.7,202409
Aguada Blanca,2025.0,09,13.56,202509
Aguada Blanca,1968.0,10,,196810
Aguada Blanca,1969.0,10,,196910
Aguada Blanca,1970.0,10,,197010
Aguada Blanca,1971.0,10,,197110
Aguada Blanca,1972.0,10,8.48,197210
Aguada Blanca,1973.0,10,10.87,197310
Aguada Blanca,1974.0,10,12.21,197410
Aguada Blanca,1975.0,10,15.21,197510
Aguada Blanca,1976.0,10,9.39,197610
Aguada Blanca,1977.0,10,10.76,197710
Aguada Blanca,1978.0,10,8.87,197810
Aguada Blanca,1979.0,10,8.34,197910
Aguada Blanca,1980.0,10,4.7,198010
Aguada Blanca,1981.0,10,11.29,198110
Aguada Blanca,1982.0,10,8.81,198210
Aguada Blanca,1983.0,10,4.65,198310
Aguada Blanca,1984.0,10,12.01,198410
Aguada Blanca,1985.0,10,13.0,198510
Aguada Blanca,1986.0,10,13.42,198610
Aguada Blanca,1987.0,10,9.85,198710
Aguada Blanca,1988.0,10,10.52,198810
Aguada Blanca,1989.0,10,10.13,198910
Aguada Blanca,1990.0,10,4.23,199010
Aguada Blanca,1991.0,10,9.31,199110
Aguada Blanca,1992.0,10,4.07,199210
Aguada Blanca,1993.0,10,8.54,199310
Aguada Blanca,1994.0,10,12.06,199410
Aguada Blanca,1995.0,10,9.09,199510
Aguada Blanca,1996.0,10,8.754,199610
Aguada Blanca,1997.0,10,8.775483870967742,199710
Aguada Blanca,1998.0,10,10.53,199810
Aguada Blanca,1999.0,10,12.17,199910
Aguada Blanca,2000.0,10,12.27,200010
Aguada Blanca,2001.0,10,11.024516129032257,200110
Aguada Blanca,2002.0,10,10.540967741935486,200210
Aguada Blanca,2003.0,10,12.1612903225806,200310
Aguada Blanca,2004.0,10,11.542580645161292,200410
Aguada Blanca,2005.0,10,9.006451612903225,200510
Aguada Blanca,2006.0,10,13.03516129032258,200610
Aguada Blanca,2007.0,10,12.83,200710
Aguada Blanca,2008.0,10,10.501935483870968,200810
Aguada Blanca,2009.0,10,9.197741935483872,200910
Aguada Blanca,2010.0,10,11.78,201010
Aguada Blanca,2011.0,10,13.958387096774194,201110
Aguada Blanca,2012.0,10,15.07,201210
Aguada Blanca,2013.0,10,14.003548387096773,201310
Aguada Blanca,2014.0,10,11.002258064516129,201410
Aguada Blanca,2015.0,10,10.00516129032258,201510
Aguada Blanca,2016.0,10,11.006451612903225,201610
Aguada Blanca,2017.0,10,13.002258064516129,201710
Aguada Blanca,2018.0,10,13.132580645161289,201810
Aguada Blanca,2019.0,10,13.13252313533805,201910
Aguada Blanca,2020.0,10,13.1,202010
Aguada Blanca,2021.0,10,14.0,202110
Aguada Blanca,2022.0,10,14.0,202210
Aguada Blanca,2023.0,10,11.5,202310
Aguada Blanca,2024.0,10,12.8,202410
Aguada Blanca,2025.0,10,13.23,202510
Aguada Blanca,1968.0,11,,196811
Aguada Blanca,1969.0,11,,196911
Aguada Blanca,1970.0,11,,197011
